id,x,y,name,classname,region,toryvote,population,valgainprivrent,unitsperthouprivrent,valgainall,valgainallpc,aveval,wasparty,isparty,waspartynum,ispartynum,namelen
E14000968,23,38,Stevenage,Stevenage,East,41.4,94988,385.1,57,1800,23.3,190714,Con,Con,1,1,9
S14000057,14,5,Stirling,Stirling,Scotland,24,91260,134.1,64,-184.1,-3.1,150690,Lab,Lab,0,0,8
E14000970,20,16,Stockton North,Stockton_North,North_East,25.9,91946,153.6,70,-86.6,-2.1,100695,Lab,Lab,0,0,14
E14000971,20,17,Stockton South,Stockton_South,North_East,38.9,100460,215.6,70,-35.4,-0.6,131711,Con,Con,1,1,14
E14000973,19,30,Stoke-on-Trent North,Stoke-on-Trent_North,West_Midlands,23.8,96736,81.9,76,-391.9,-11,81597,Lab,Lab,0,0,20
E14000974,18,31,Stoke-on-Trent South,Stoke-on-Trent_South,West_Midlands,28.4,89568,69.3,60,-413.4,-11.2,92460,Lab,Lab,0,0,20
E14000975,16,31,Stone,Stone,West_Midlands,50.6,84576,202.2,59,387.9,5.4,190756,Con,Con,1,1,5
N06000016,9,26,Strangford,Strangford,Northern_Ireland,0,90003,14.7,64,-1207.8,-29.8,106340,DUP,DUP,0,0,10
E14000821,16,38,Milton Keynes North,Milton_Keynes_North,South_East,43.5,124021,866.9,96,2277.2,21.8,197219,Con,Con,1,1,19
E14000980,12,41,Stroud,Stroud,South_West,40.8,100532,370.2,67,1401.3,13.8,223540,Con,Con,1,1,6
E14000624,29,36,Central Suffolk and North Ipswich,Central_Suffolk_and_North_Ipswich,East,50.8,99064,397.3,60,1410.2,14.5,226590,Con,Con,1,1,33
E14000946,28,36,South Suffolk,South_Suffolk,East,47.7,91938,384.6,70,1433.5,14.9,231092,Con,Con,1,1,13
E14000642,31,37,Clacton,Clacton,East,53,85487,391.5,98,1075.4,15,166327,Con,UKIP,1,0,7
E14001034,24,37,West Suffolk,West_Suffolk,East,50.6,114400,465,95,1556.6,17,183073,Con,Con,1,1,12
E14000982,20,14,Sunderland Central,Sunderland_Central,North_East,30.1,100175,246.1,101,-96.3,-2,106292,Lab,Lab,0,0,18
E14000754,21,14,Houghton and Sunderland South,Houghton_and_Sunderland_South,North_East,21.4,87153,118.1,50,-21.3,-0.5,100195,Lab,Lab,0,0,29
E14000681,24,47,East Surrey,East_Surrey,South_East,56.7,106119,892.3,62,4386.3,25.9,377808,Con,Con,1,1,11
E14000983,18,43,Surrey Heath,Surrey_Heath,South_East,57.6,106581,651.6,56,3847.2,24.9,355890,Con,Con,1,1,12
E14000953,17,44,South West Surrey,South_West_Surrey,South_East,58.7,103467,821.8,59,5046.2,25.4,451742,Con,Con,1,1,17
E14000817,20,46,Mid Sussex,Mid_Sussex,South_East,50.7,106894,719.2,70,2986.4,20.9,306746,Con,Con,1,1,10
W07000047,5,38,Swansea West,Swansea_West,Wales,20.8,81153,168.2,111,-209,-4.4,129268,Lab,Lab,0,0,12
E14000851,12,42,North Swindon,North_Swindon,South_West,44.6,108831,376.5,75,914.2,11.8,163083,Con,Con,1,1,13
E14000947,13,42,South Swindon,South_Swindon,South_West,41.8,103103,439.2,93,920,12.3,162533,Con,Con,1,1,13
E14000986,19,34,Tamworth,Tamworth,West_Midlands,45.8,95733,181,54,319.1,5,158077,Con,Con,1,1,8
E14000987,18,28,Tatton,Tatton,North_West_,54.6,84587,356.2,64,647.2,5.8,294588,Con,Con,1,1,6
E14000988,7,46,Taunton Deane,Taunton_Deane,South_West,42.2,111370,363,82,932.5,10,183743,LD,LD,0,0,13
E14000835,7,47,Newton Abbot,Newton_Abbot,South_West,43,86229,245.5,82,914.7,11.2,199984,Con,Con,1,1,12
E14000799,12,34,Ludlow,Ludlow,West_Midlands,52.8,85112,238.2,85,517,6.3,207689,Con,Con,1,1,6
E14000990,13,40,Tewkesbury,Tewkesbury,South_West,47.2,99322,390.1,67,1283.7,13.3,214676,Con,Con,1,1,10
E14000852,32,45,North Thanet,North_Thanet,South_East,52.7,94620,447,102,1230,15.9,175689,Con,Con,1,1,12
E14000948,32,46,South Thanet,South_Thanet,South_East,48,97148,562,122,1281.1,15.5,178416,Con,Con,1,1,12
E14000995,29,39,Thurrock,Thurrock,East,36.8,118467,575.7,76,1560.9,19.3,168634,Con,Con,1,1,8
E14000996,6,46,Tiverton and Honiton,Tiverton_and_Honiton,South_West,50.3,98622,309.4,78,1013.4,10.1,215564,Con,Con,1,1,20
E14000997,26,47,Tonbridge and Malling,Tonbridge_and_Malling,South_East,57.9,99867,538.7,56,2473.8,17.5,338111,Con,Con,1,1,21
E14000999,6,47,Torbay,Torbay,South_West,38.7,97529,385.5,135,539.1,6.6,169056,LD,LD,0,0,6
W07000053,11,37,Torfaen,Torfaen,Wales,20,81404,91.4,49,-80,-2.2,100602,Lab,Lab,0,0,7
E14001001,6,48,Totnes,Totnes,South_West,45.9,83140,306.3,84,739.1,6.4,260755,Con,Con,1,1,6
E14001003,1,47,Truro and Falmouth,Truro_and_Falmouth,South_West,41.7,90398,254.8,93,742.9,7.1,236742,Con,Con,1,1,18
E14001004,27,47,Tunbridge Wells,Tunbridge_Wells,South_East,56.2,105713,783.3,85,2096.7,14.7,317906,Con,Con,1,1,15
E14000709,19,15,Gateshead,Gateshead,North_East,14.9,94657,164.1,90,-97.5,-2.4,93502,Lab,Lab,0,0,9
E14001006,20,12,Tynemouth,Tynemouth,North_East,34.4,99067,194.8,70,-88.9,-1.3,152403,Lab,Lab,0,0,9
E14000853,19,12,North Tyneside,North_Tyneside,North_East,18.3,102379,148,70,-11.6,-0.2,97993,Lab,Lab,0,0,14
N06000018,6,24,West Tyrone,West_Tyrone,Northern_Ireland,0,91860,27.1,86,-661.1,-20.3,88032,SF,SF,0,0,11
N06000010,6,25,Mid Ulster,Mid_Ulster,Northern_Ireland,0,100842,19.6,73,-1126.8,-29,106311,SF,SF,0,0,10
N06000017,7,25,Upper Bann,Upper_Bann,Northern_Ireland,0,120635,32.3,92,-1121.4,-28.3,80245,DUP,DUP,0,0,10
E14000683,24,20,East Yorkshire,East_Yorkshire,Yorkshire_And_The_Humber,47.5,100928,220.5,92,236.3,3.5,144167,Con,Con,1,1,14
E14001061,23,19,York Central,York_Central,Yorkshire_And_The_Humber,26.1,106113,683,134,1139,14.6,163327,Lab,Lab,0,0,12
W07000041,8,31,Ynys Mon,Ynys_Mon,Wales,22.5,70049,83.6,77,252.4,4.8,151610,Lab,Lab,0,0,8
E14001060,8,45,Yeovil,Yeovil,South_West,32.9,108158,260.1,72,800.5,9.5,172025,LD,LD,0,0,6
E14001058,12,37,Wyre Forest,Wyre_Forest,West_Midlands,36.9,98074,313.3,75,649.4,9,161399,Con,Con,1,1,11
E14001056,17,40,Wycombe,Wycombe,South_East,48.6,109256,866.1,81,2792.4,21.8,292194,Con,Con,1,1,7
W07000044,11,34,Wrexham,Wrexham,Wales,25.4,71031,123.6,73,-17.3,-0.5,122989,Lab,Lab,0,0,7
E14000992,15,31,The Wrekin,The_Wrekin,West_Midlands,47.7,91778,271,75,274.7,4.9,148582,Con,Con,1,1,10
E14001055,19,46,Worthing West,Worthing_West,South_East,51.7,95411,629.6,95,2062.7,18.7,236463,Con,Con,1,1,13
E14000682,20,47,East Worthing and Shoreham,East_Worthing_and_Shoreham,South_East,48.5,97165,525.8,74,1846.6,18.6,229619,Con,Con,1,1,26
E14001053,16,16,Workington,Workington,North_West_,33.9,78371,44.7,52,-40.6,-0.9,118408,Lab,Lab,0,0,10
E14001035,13,39,West Worcestershire,West_Worcestershire,West_Midlands,50.3,92117,249.9,63,865.5,9.1,226137,Con,Con,1,1,19
E14000892,14,38,Redditch,Redditch,West_Midlands,43.5,89891,266.6,64,459.3,8,149198,Con,Con,1,1,8
E14001052,14,39,Worcester,Worcester,West_Midlands,39.5,99604,438.5,97,578.8,8.4,156369,Con,Con,1,1,9
E14000850,9,42,North Somerset,North_Somerset,South_West,49.3,99083,426,61,1545,13.4,263008,Con,Con,1,1,14
E14001048,16,42,Wokingham,Wokingham,South_East,52.7,102655,556.8,61,2566.4,18.6,328047,Con,Con,1,1,9
E14001047,19,44,Woking,Woking,South_East,50.3,106365,967.4,75,4297.5,25.7,379654,Con,Con,1,1,6
E14001046,13,41,Witney,Witney,South_East,58.8,107118,617,73,3055,22.1,299888,Con,Con,1,1,6
E14001042,19,41,Windsor,Windsor,South_East,60.8,103122,1292.8,91,4417.8,23.4,440066,Con,Con,1,1,7
E14001041,14,44,Winchester,Winchester,South_East,48.5,98207,849.8,74,2432.5,16.7,353476,Con,Con,1,1,10
E14000860,12,43,North Wiltshire,North_Wiltshire,South_West,51.6,89400,359.8,71,1320.7,13.3,262329,Con,Con,1,1,15
E14001038,6,44,Weston-Super-Mare,Weston-Super-Mare,South_West,44.3,105302,535.9,110,1165.1,13.5,175660,Con,Con,1,1,17
E14001037,18,18,Westmorland and Lonsdale,Westmorland_and_Lonsdale,North_West_,36.2,83788,97.9,80,-228.9,-2.5,212458,LD,LD,0,0,24
E14000954,11,44,South West Wiltshire,South_West_Wiltshire,South_West,51.7,98354,353.3,85,1189,13.6,195045,Con,Con,1,1,20
E14001027,20,38,Welwyn Hatfield,Welwyn_Hatfield,East,57,106827,801.3,69,2819.5,23.6,272261,Con,Con,1,1,15
E14001026,7,45,Wells,Wells,South_West,42.5,103947,314.7,79,822.4,8.8,198356,LD,LD,0,0,5
E14000728,19,36,Harborough,Harborough,East_Midlands,48.9,101279,294.2,57,880.7,10.5,197285,Con,Con,1,1,10
E14001024,16,29,Weaver Vale,Weaver_Vale,North_West_,38.5,88255,153.6,55,-23.5,-0.4,163908,Con,Con,1,1,11
E14001023,25,47,Wealden,Wealden,South_East,56.6,103094,582.5,61,2655,18.8,318548,Con,Con,1,1,7
E14000981,30,35,Suffolk Coastal,Suffolk_Coastal,East,46.4,99005,351.1,75,1855.4,14.9,249187,Con,Con,1,1,15
E14000951,21,40,South West Hertfordshire,South_West_Hertfordshire,East,54.2,106709,1091.8,59,4634.4,23.5,445504,Con,Con,1,1,24
E14000854,18,35,North Warwickshire,North_Warwickshire,West_Midlands,40.2,90207,204,59,845.7,14.6,147576,Con,Con,1,1,18
E14001019,14,37,Warwick and Leamington,Warwick_and_Leamington,West_Midlands,42.6,98391,608,104,1272.7,14.1,207383,Con,Con,1,1,22
E14001018,17,28,Warrington South,Warrington_South,North_West_,35.8,108353,340.1,65,491.2,5.5,186080,Con,Con,1,1,16
E14001017,16,28,Warrington North,Warrington_North,North_West_,30.2,95299,175.3,57,214.1,4.2,120618,Lab,Lab,0,0,16
E14001015,15,41,Wantage,Wantage,South_East,52,108663,646.7,69,3080.8,23.1,289421,Con,Con,1,1,7
E14000846,8,44,North East Somerset,North_East_Somerset,South_West,41.3,87408,326.8,54,1596.5,16.5,257246,Con,Con,1,1,19
E14001014,20,11,Wansbeck,Wansbeck,North_East,17.5,81847,68,69,-175.3,-4.4,103047,Lab,Lab,0,0,8
E14001062,22,19,York Outer,York_Outer,Yorkshire_And_The_Humber,43,93905,290.3,47,1163.8,12.9,227478,Con,Con,1,1,10
W07000078,6,41,Vale of Glamorgan,Vale_of_Glamorgan,Wales,41.8,98094,341.4,75,463.1,6.1,179155,Con,Con,1,1,17
W07000060,9,33,Vale of Clwyd,Vale_of_Clwyd,Wales,35.2,71257,54.5,87,-192.8,-5.3,112966,Lab,Lab,0,0,13
E14001044,13,29,Wirral West,Wirral_West,North_West_,42.5,69204,134.3,56,-277,-4.7,192383,Con,Con,1,1,11
E14000958,12,25,Southport,Southport,North_West_,35.8,90554,177.9,98,-256.8,-4,151491,LD,LD,0,0,9
E14001039,14,23,Wigan,Wigan,North_West_,24.7,102250,181,69,155.8,3,112856,Lab,Lab,0,0,5
E14000963,15,27,St Helens South and Whiston,St_Helens_South_and_Whiston,North_West_,17.8,101008,123.7,62,-88.6,-1.8,108334,Lab,Lab,0,0,27
E14000708,13,27,Garston and Halewood,Garston_and_Halewood,North_West_,16.1,98135,160.5,65,-88,-1.5,131398,Lab,Lab,0,0,20
E14000805,13,24,Makerfield,Makerfield,North_West_,18.8,98346,125.7,53,60.7,1.2,114535,Lab,Lab,0,0,10
E14000580,15,23,Bolton West,Bolton_West,North_West_,38.3,94861,213.9,62,119.6,1.9,148143,Lab,Lab,0,0,11
E14000785,15,25,Leigh,Leigh,North_West_,20.9,103275,166.4,73,81.9,1.7,104145,Lab,Lab,0,0,5
E14000962,15,26,St Helens North,St_Helens_North,North_West_,22.3,97086,109.7,54,-44.7,-1,106919,Lab,Lab,0,0,15
E14000775,14,25,Knowsley,Knowsley,North_West_,9,103817,103.3,57,-70.5,-1.8,88058,Lab,Lab,0,0,8
E14000916,13,25,Sefton Central,Sefton_Central,North_West_,33.9,84715,98.5,40,-276.7,-3.9,194306,Lab,Lab,0,0,14
E14000794,13,26,"Liverpool, Walton",Liverpool_Walton,North_West_,6.5,91647,132.9,115,-105.9,-3.8,66890,Lab,Lab,0,0,17
E14000795,14,27,"Liverpool, Wavertree",Liverpool_Wavertree,North_West_,7.5,92274,258.1,134,-164.9,-3.3,119457,Lab,Lab,0,0,20
E14000796,14,26,"Liverpool, West Derby",Liverpool_West_Derby,North_West_,9.3,90922,151.9,86,-22.3,-0.6,86502,Lab,Lab,0,0,21
E14000979,16,26,Stretford and Urmston,Stretford_and_Urmston,North_West_,28.7,99493,107.7,58,50.1,0.9,126706,Lab,Lab,0,0,21
E14000532,16,27,Altrincham and Sale West,Altrincham_and_Sale_West,North_West_,48.9,97409,234.1,59,186.7,1.5,291539,Con,Con,1,1,24
E14000747,17,23,Heywood and Middleton,Heywood_and_Middleton,North_West_,27.2,104092,192.5,68,122.4,2.3,113051,Lab,Lab,0,0,21
E14000612,16,22,Bury South,Bury_South,North_West_,33.6,98391,232.5,76,18.2,0.3,132055,Lab,Lab,0,0,10
E14000579,14,24,Bolton South East,Bolton_South_East,North_West_,25.6,102827,167.6,79,71.3,2,83409,Lab,Lab,0,0,17
E14001054,16,25,Worsley and Eccles South,Worsley_and_Eccles_South,North_West_,32.5,99326,187.2,68,68.8,1.3,114447,Lab,Lab,0,0,24
E14000611,15,22,Bury North,Bury_North,North_West_,40.2,87808,203.4,74,38.1,0.7,133028,Con,Con,1,1,10
E14000578,16,23,Bolton North East,Bolton_North_East,North_West_,36.5,96095,214.7,83,110.1,2.3,108829,Lab,Lab,0,0,17
E14000871,18,23,Oldham West and Royton,Oldham_West_and_Royton,North_West_,23.7,103126,118.8,57,-29.4,-0.7,98881,Lab,Lab,0,0,22
E14000537,17,24,Ashton-under-Lyne,Ashton-under-Lyne,North_West_,24.7,90915,135.6,80,-13.2,-0.3,92537,Lab,Lab,0,0,17
E14000807,17,25,Manchester Central,Manchester_Central,North_West_,11.8,136160,613,176,502.8,8.6,95631,Lab,Lab,0,0,18
E14000571,16,24,Blackley and Broughton,Blackley_and_Broughton,North_West_,18.3,113172,285.7,119,224.6,5.7,81623,Lab,Lab,0,0,22
E14000911,15,24,Salford and Eccles,Salford_and_Eccles,North_West_,20.5,110536,352.7,134,193.6,3.6,99626,Lab,Lab,0,0,18
E14000661,19,25,Denton and Reddish,Denton_and_Reddish,North_West_,24.9,86073,137.6,73,55,1.3,104254,Lab,Lab,0,0,18
E14000969,18,26,Stockport,Stockport,North_West_,25.3,85465,204.9,82,72.5,1.3,136140,Lab,Lab,0,0,9
E14000808,18,25,"Manchester, Gorton",Manchester_Gorton,North_West_,11,113855,348,141,205.2,4.8,98175,Lab,Lab,0,0,18
E14000627,18,27,Cheadle,Cheadle,North_West_,40.8,91168,188.1,46,81.9,0.9,230632,LD,LD,0,0,7
E14001059,17,27,Wythenshawe and Sale East,Wythenshawe_and_Sale_East,North_West_,25.6,106279,233.1,76,231,4.1,117545,Lab,Lab,0,0,25
E14000809,17,26,"Manchester, Withington",Manchester_Withington,North_West_,11.1,100093,559.9,154,294.5,3.8,182826,LD,LD,0,0,22
E14000967,18,24,Stalybridge and Hyde,Stalybridge_and_Hyde,North_West_,32.9,92097,147.6,67,101.8,2.1,117486,Lab,Lab,0,0,20
E14000738,19,27,Hazel Grove,Hazel_Grove,North_West_,33.6,79189,128.1,48,58.7,1,167968,LD,LD,0,0,11
E14000589,18,20,Bradford West,Bradford_West,Yorkshire_And_The_Humber,31.1,115758,194.3,95,-281.8,-7.9,90335,Lab,Resp,0,0,13
E14000766,17,20,Keighley,Keighley,Yorkshire_And_The_Humber,41.9,96965,282.2,82,-337.3,-4.7,172221,Con,Con,1,1,8
E14000780,21,20,Leeds North West,Leeds_North_West,Yorkshire_And_The_Humber,26.6,85597,263.3,108,-118.9,-2,170762,LD,LD,0,0,16
E14000777,21,21,Leeds Central,Leeds_Central,Yorkshire_And_The_Humber,20.2,135348,389,164,190.3,3.7,82678,Lab,Lab,0,0,13
E14000779,22,20,Leeds North East,Leeds_North_East,Yorkshire_And_The_Humber,33.1,92243,256.2,86,-28.7,-0.4,169770,Lab,Lab,0,0,16
E14000778,23,21,Leeds East,Leeds_East,Yorkshire_And_The_Humber,23.2,95579,143.3,70,45.6,1.2,95227,Lab,Lab,0,0,10
E14000781,20,21,Leeds West,Leeds_West,Yorkshire_And_The_Humber,19.7,93379,163.8,97,-7.2,-0.2,87923,Lab,Lab,0,0,10
E14000886,20,20,Pudsey,Pudsey,Yorkshire_And_The_Humber,38.5,89262,218.1,73,47.5,0.7,169412,Con,Con,1,1,6
E14000587,19,20,Bradford East,Bradford_East,Yorkshire_And_The_Humber,26.8,114860,177.7,88,-151.3,-4.2,84617,LD,LD,0,0,13
E14000925,17,21,Shipley,Shipley,Yorkshire_And_The_Humber,48.6,95038,252.4,80,-287,-4.1,159840,Con,Con,1,1,7
E14000756,20,22,Huddersfield,Huddersfield,Yorkshire_And_The_Humber,27.8,96059,170.8,102,-76.7,-1.6,109313,Lab,Lab,0,0,12
E14000836,22,22,"Normanton, Pontefract and Castleford",Normanton_Pontefract_and_Castleford,Yorkshire_And_The_Humber,24.5,107744,147.6,58,82.9,1.7,99004,Lab,Lab,0,0,36
E14000548,19,21,Batley and Spen,Batley_and_Spen,Yorkshire_And_The_Humber,33.6,108795,152.1,74,-38.5,-0.7,113445,Lab,Lab,0,0,15
E14000826,22,21,Morley and Outwood,Morley_and_Outwood,Yorkshire_And_The_Humber,35.3,96652,176,70,26.5,0.5,130043,Lab,Lab,0,0,18
E14000588,18,21,Bradford South,Bradford_South,Yorkshire_And_The_Humber,29.1,101998,176,88,-152.4,-3.9,90703,Lab,Lab,0,0,14
E14000723,19,22,Halifax,Halifax,Yorkshire_And_The_Humber,34,101865,185.4,92,-72.5,-1.5,103906,Lab,Lab,0,0,7
E14000666,21,22,Dewsbury,Dewsbury,Yorkshire_And_The_Humber,35,110878,162.9,66,-33,-0.5,134203,Con,Con,1,1,8
E14000724,23,22,Haltemprice and Howden,Haltemprice_and_Howden,Yorkshire_And_The_Humber,50.2,88966,151.6,51,258,3.6,184704,Con,Con,1,1,22
E14000689,23,20,Elmet and Rothwell,Elmet_and_Rothwell,Yorkshire_And_The_Humber,42.6,99635,199.4,51,-12.3,-0.1,199980,Con,Con,1,1,18
E14000919,19,26,Sheffield Central,Sheffield_Central,Yorkshire_And_The_Humber,10.1,118478,534,168,194.1,3.3,117553,Lab,Lab,0,0,17
E14000923,20,26,"Sheffield, Heeley",Sheffield_Heeley,Yorkshire_And_The_Humber,17.3,93560,136.4,62,-21.5,-0.5,94675,Lab,Lab,0,0,17
E14000922,21,27,"Sheffield, Hallam",Sheffield_Hallam,Yorkshire_And_The_Humber,23.5,90105,263.3,65,-233.5,-2.7,233924,LD,LD,0,0,17
E14000748,20,27,High Peak,High_Peak,East_Midlands,40.9,91118,233.6,72,307.1,4.5,167162,Con,Con,1,1,9
E14000904,21,25,Rotherham,Rotherham,Yorkshire_And_The_Humber,16.7,90307,118.8,69,32.3,0.9,90515,Lab,Lab,0,0,9
E14000921,20,25,"Sheffield, Brightside and Hillsborough",Sheffield_Brightside_and_Hillsborough,Yorkshire_And_The_Humber,11.5,107864,111,58,-111.8,-3.5,73239,Lab,Lab,0,0,38
E14000541,20,24,Barnsley Central,Barnsley_Central,Yorkshire_And_The_Humber,17.3,86555,97.3,76,28.6,0.7,96902,Lab,Lab,0,0,16
E14000669,23,23,Doncaster North,Doncaster_North,Yorkshire_And_The_Humber,21,98498,157.2,77,-151.3,-3.7,96664,Lab,Lab,0,0,15
E14000668,22,24,Doncaster Central,Doncaster_Central,Yorkshire_And_The_Humber,24.8,105529,231.1,100,-125.2,-2.6,102368,Lab,Lab,0,0,17
E14000667,23,24,Don Valley,Don_Valley,Yorkshire_And_The_Humber,29.7,98712,167.5,67,-93.3,-1.9,116520,Lab,Lab,0,0,10
E14000903,22,27,Rother Valley,Rother_Valley,Yorkshire_And_The_Humber,28.4,94644,134.7,60,-14.8,-0.3,130654,Lab,Lab,0,0,13
E14000920,21,26,Sheffield South East,Sheffield_South_East,Yorkshire_And_The_Humber,17.4,93056,107.4,50,-36.1,-0.9,98247,Lab,Lab,0,0,20
E14000542,21,24,Barnsley East,Barnsley_East,Yorkshire_And_The_Humber,16.5,91567,90.8,66,35.6,0.9,95179,Lab,Lab,0,0,13
E14001028,22,25,Wentworth and Dearne,Wentworth_and_Dearne,Yorkshire_And_The_Humber,17.6,95905,100.4,67,20.5,0.5,100791,Lab,Lab,0,0,20
E14000876,19,24,Penistone and Stocksbridge,Penistone_and_Stocksbridge,Yorkshire_And_The_Humber,31.2,87364,84.3,45,42.5,0.8,142266,Lab,Lab,0,0,26
E14000740,22,23,Hemsworth,Hemsworth,Yorkshire_And_The_Humber,24.3,94181,144.3,61,43.8,0.9,112336,Lab,Lab,0,0,9
E14001009,21,23,Wakefield,Wakefield,Yorkshire_And_The_Humber,35.6,95662,179.5,74,19,0.4,112671,Lab,Lab,0,0,9
E14000645,20,23,Colne Valley,Colne_Valley,Yorkshire_And_The_Humber,37,109785,197.5,81,-72.1,-1,142744,Con,Con,1,1,12
E14000614,18,22,Calder Valley,Calder_Valley,Yorkshire_And_The_Humber,39.4,103428,218,85,-176.5,-2.6,139963,Con,Con,1,1,13
E14000870,19,23,Oldham East and Saddleworth,Oldham_East_and_Saddleworth,North_West_,26.4,101980,178.8,68,50.3,0.9,122478,Lab,Lab,0,0,27
E14000897,17,22,Rochdale,Rochdale,North_West_,18.1,107928,189.4,75,91.8,2.1,98743,Lab,Lab,0,0,8
E14000793,12,27,"Liverpool, Riverside",Liverpool_Riverside,North_West_,10.9,116851,525.4,195,207.4,3.3,110036,Lab,Lab,0,0,20
