"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Alexander Volkov","61.002","38.7795","56.6059","40.1654","61.376","39.0273","61.0215","39.0553"
"Robin Vik","57.3247","38.8475","55.5294","42.8734","58.0729","33.0508","57.1753","37.3903"
"Alejandro Falla","59.5602","36.9642","59.1264","37.8548","62.5038","33.7263","58.5309","37.6501"
"Christian Bergstrom","59.6133","40.553","57.8737","40.936","58.5496","40.0541","60.1892","41.2038"
"Byron Black","60.8354","39.4136","57.5388","38.5901","61.3258","41.0722","60.8582","39.2586"
"Jerome Golmard","63.0702","36.4646","59.7778","38.0556","63.3002","35.6336","64.7362","36.3645"
"Jaime Yzaga","59.5722","40.4447","58.4601","42.5395","60.2601","39.1478","60.4444","39.3115"
"Henrik Holm","61.7159","37.7183","58.7193","37.3239","65.8676","36.4855","60.897","38.8979"
"Luis Horna","63.1602","35.1716","63.017","37.0291","59.562","26.4755","63.6665","32.9372"
"Simon Greul","59.9181","35.2955","59.6379","35.5238","58.0737","35.0954","60.5811","35.0812"
"Vincent Spadea","60.8876","38.6823","58.3229","40.6797","61.2715","36.5532","61.8612","38.4143"
"Fernando Meligeni","60.3613","39.3094","60.3312","41.0457","57.6271","33.8308","60.6383","35.6005"
"Mischa Zverev","60.3147","36.3872","58.2418","37.1202","62.2463","35.6949","60.6964","36.3049"
"Peter Luczak","61.3497","33.3912","59.7418","34.3224","64.018","33.4992","62.3944","32.5777"
"Jurgen Melzer","62.3543","37.0471","60.8291","39.3493","64.269","34.9157","62.7494","36.1618"
"Nicolas Massu","57.9968","36.0731","56.8844","37.9235","61.7978","27.0492","64.6154","25.8621"
"Julien Benneteau","61.8655","37.1078","59.1527","38.3622","64.3775","34.9705","62.2745","37.08"
"Jordi Arrese","58.0109","41.7745","57.9793","42.3153","55.6818","14.7541","59.0706","38.439"
"Andreas Vinciguerra","61.3572","37.1545","58.6397","39.3489","59.8909","34.6099","63.2974","36.0093"
"Michel Kratochvil","60.3426","38.82","58.4552","40.1536","60.8946","39.0244","61.4429","38.3991"
"Todd Woodbridge","59.9797","39.5669","56.2412","39.8426","61.5768","40.6315","60.2664","39.6299"
"Wayne Arthurs","69.5039","29.6845","66.4471","29.9485","73.074","30.3047","68.9455","29.3548"
"Nicolas Devilder","58.5529","37.2683","58.7349","38.8217","59.3614","33.8384","57.8635","35.3836"
"Bjorn Phau","59.1374","37.0986","57.1932","38.4887","60.6376","32.7219","59.6965","37.1525"
"Diego Junqueira","54.6648","36.3093","54.7291","38.1834","46.1538","19.6721","55.4672","29.0672"
"Olivier Rochus","60.6311","37.7903","57.8574","39.3638","63.3046","35.3855","60.9752","38.0684"
"Jamie Morgan","64.2158","35.3416","60.2972","36.7742","66.8685","33.4467","63.7178","35.8569"
"Thierry Ascione","60.2925","34.2242","57.6762","36.9565","54.5994","25.3061","62.4698","33.8156"
"Hernan Gumy","60.2777","39.4255","60.2148","41.0543","56.6154","26.0563","60.8579","36.7616"
"Marc-Kevin Goellner","63.8923","35.1132","62.9126","37.5498","66.0395","31.755","63.9334","33.6748"
"Alberto Mancini","61.2809","38.1217","61.0452","39.4364","0","0","61.5704","36.5877"
"Andrei Chesnokov","58.0766","41.3689","56.7085","44.8836","58.5096","35.2309","58.6458","39.7397"
"Stefan Koubek","59.9774","38.4274","58.7555","40.3678","60.6387","36.7675","60.4389","37.6062"
"Denis Gremelmayr","58.6899","35.4363","58.7671","37.7322","58.0303","31.1148","58.7637","34.8527"
"Ryan Harrison","62.0008","34.5986","61.9746","32.9993","63.6198","33.3956","61.5739","35.2058"
"Feliciano Lopez","66.3149","32.6119","63.5504","34.4374","70.564","32.3616","66.5823","31.9682"
"Hyung-Taik Lee","61.9846","37.0407","60.2468","38.3012","63.196","37.0456","62.2866","36.8395"
"Kenneth Carlsen","64.6384","34.8067","58.9276","34.7447","65.8029","34.7686","64.4753","35.2854"
"Flavio Saretta","59.135","40.3404","58.4821","41.0709","63.1095","37.3766","58.6387","40.4884"
"Albert Montanes","61.2082","37.1344","61.6804","39.0997","62.8076","31.2765","59.5768","32.263"
"Patrick McEnroe","59.7816","39.5934","56.3025","41.0773","58.4481","39.0812","60.108","40.0832"
"Franco Squillari","59.4308","39.7315","59.3805","41.1729","60.7509","31.6843","59.5455","36.7436"
"Andrea Gaudenzi","59.579","40.0125","59.803","41.8337","57.8947","32.4727","59.253","37.8816"
"Sandon Stolle","62.1645","37.0379","60.8398","35.9053","65.5421","36.2627","60.9833","37.555"
"Jared Palmer","61.7946","37.2083","61.1072","39.4805","62.3228","33.3923","61.7534","37.8331"
"Hicham Arazi","60.9176","38.2724","58.711","41.2109","62.5414","36.5338","62.1269","36.9653"
"Alex Radulescu","64.9748","33.9162","59.4371","29.3103","67.2717","33.2018","64.1959","35.4204"
"Jim Grabb","63.5137","35.6565","61.8026","33.631","64.5985","34.3173","63.1232","35.3885"
"Gilbert Schaller","57.8605","41.9121","58.0013","43.2377","56.044","35","56.9539","36.6563"
"Lukasz Kubot","60.7123","36.5986","59.0837","37.8545","66.1002","34.5831","60.4558","36.2134"
"Kevin Kim","59.9592","35.769","54.6429","36.2069","61.1478","34.1176","60.3679","36.0786"
"Renzo Furlan","59.9824","39.5817","58.6074","41.1376","61.0811","36.5559","60.9242","38.3034"
"Javier Sanchez","60.5092","38.8379","60.2634","40.6441","61.4068","31.7893","60.5753","38.0776"
"Cecil Mamiit","58.7743","37.8983","56.8413","38.3081","58.0599","38.069","59.0759","37.7374"
"Roko Karanusic","60.8832","35.3402","56.5093","37.9076","63.8923","34.2169","61.3915","35.0661"
"Bryan Shelton","64.1304","34.9677","63.1617","36.3009","65.2443","35.0787","63.8815","34.0951"
"Peter Wessels","65.2196","33.6484","61.6766","35.868","69.0892","32.0618","64.3237","34.869"
"Jerome Haehnel","59.7579","33.3166","53.9299","32.9349","60","31.1203","63.029","34.5224"
"Flavio Cipolla","54.5796","39.1101","53.5395","38.8198","51.9856","34.1847","55.5343","39.9063"
"Guillermo Garcia-Lopez","60.4829","38.5557","59.5876","40.3967","63.96","36.7092","60.6502","37.2235"
"Juan Balcells","63.7738","35.27","64.2473","35.2206","61.2805","29.9674","63.6331","35.9773"
"Marcos Daniel","59.0569","33.3637","59.7648","36.2844","56.4148","29.505","58.399","27.4386"
"Jimmy Connors","58.4098","40.549","55.5046","39.1051","62.0746","38.8788","59.0012","41.2354"
"Bernd Karbacher","60.4173","38.4313","60.6817","39.6454","57.2936","33.4656","60.9294","38.3041"
"Michael Tebbutt","62.8222","35.8459","61.9016","36.7608","60.2932","37.6861","62.6047","35.9791"
"Santiago Ventura","58.2026","37.8246","58.7912","38.9358","55.0179","32.8413","56.8461","34.7124"
"Omar Camporese","61.7699","37.1583","59.0557","37.4412","63.4336","33.1906","61.9157","39.1745"
"Bohdan Ulihrach","59.777","39.3343","58.5204","41.3795","58.1724","34.731","60.6669","38.6467"
"Mikael Tillstrom","60.5856","38.4218","58.7518","39.6738","63.0534","32.2738","60.9981","38.6699"
"Christo Van Rensburg","60.9534","38.5312","57.329","36","62.8524","39.9293","60.3651","37.7993"
"Franco Davin","56.7375","42.262","56.942","42.3219","0","0","45.4545","37.8571"
"Guillaume Raoux","62.8461","35.989","58.191","37.2615","63.5213","36.4142","63.2018","35.8799"
"Fabio Fognini","58.6658","39.1796","59.1481","40.9668","59.9216","35.5821","57.5497","36.8845"
"Jeff Tarango","60.4439","38.6147","58.1864","40.4321","60.5271","37.6714","61.0384","38.4508"
"Tomas Carbonell","57.7685","41.3184","57.2817","42.8122","56.6273","38.4724","58.0645","39.5108"
"Martin Vassallo Arguello","58.5676","36.0838","59.447","37.9069","57.5503","30.4189","55.9129","31.1543"
"Kristof Vliegen","54.9425","34.2282","51.5152","25.641","55.1402","35.8974","55.7252","35.3591"
"Christian Miniussi","59.2361","39.6361","59.5044","40.5696","53.6842","29.0698","58.8819","37.5229"
"Chuck Adams","63.0662","35.8518","57.9067","30.119","61.911","33.1514","63.425","36.2654"
"Amer Delic","63.4154","32.0063","60.9795","30.3819","65.9389","29.321","63.3787","32.5278"
"Andrei Olhovskiy","62.9203","36.1268","58.6991","37.27","64.7025","36.2211","61.0736","36.5401"
"Andrei Cherkasov","59.1968","39.8474","57.3874","40.822","53.7242","39.006","59.4411","39.9978"
"Wesley Moodie","66.6817","31.4263","64.7975","23.5507","66.7872","31.6843","66.6027","31.7458"
"Harel Levy","60.0622","36.5631","57.8747","38.1421","60.904","37.4274","60.7538","35.7383"
"Alberto Martin","59.0317","39.0505","58.8887","41.1473","58.9573","33.2506","59.4658","36.5353"
"Florent Serra","60.5942","36.2095","58.5263","39.6278","62.749","32.5978","61.4338","34.8216"
"Raemon Sluiter","63.6035","34.8016","62.4974","34.8823","63.9254","35.5102","64.1191","34.4093"
"Igor Kunitsyn","58.6501","37.0838","56.4593","39.3196","59.5178","35.3119","58.5636","36.7933"
"Nicklas Kulti","61.8152","37.3359","59.1599","40.0486","63.7138","35.4354","62.597","36.3509"
"Diego Hartfield","59.5125","37.8231","59.8368","38.8586","62.0112","28.4946","55.5053","38.388"
"Martin Jaite","59.9307","38.9997","59.1939","39.9946","0","0","61.0497","38.3651"
"Grant Stafford","58.6323","40.3148","56.8791","40.8138","60.1185","40.8564","58.1609","40.4305"
"Alessio Di Mauro","56.4327","36.8627","56.7854","37.7158","57.6052","34.5324","52.0833","30"
"Cyril Saulnier","63.6477","34.5016","55.4339","34.1941","62.8338","33.6877","64.8771","34.186"
"Ivan Navarro","63.6853","32.6723","62.6902","34.2638","65.1351","29.8977","64.4125","31.705"
"Horst Skoff","59.176","39.5719","59.7467","42.0716","55.9271","32.8125","58.6907","33.5499"
"Sargis Sargsian","60.5228","38.0115","58.8351","39.5352","63.9155","37.0363","59.956","37.5226"
"Scott Draper","63.1412","35.1183","61.5548","36.1103","62.6045","35.1905","63.8505","34.9935"
"Fernando Vicente","58.942","38.9792","58.7677","40.8013","58.1212","33.9695","59.4766","36.3049"
"Olivier Patience","59.4575","35.4054","59.5895","36.1829","63.3277","33.2117","57.8235","34.5836"
"Kevin Curren","62.7946","35.7316","62.1083","34.6875","66.4463","33.8957","61.9974","36.2185"
"Marcelo Filippini","58.9996","39.8851","59.3265","40.7113","53.4328","33.0556","57.8205","36.0982"
"Gabriel Markus","59.5882","38.9341","59.8936","40.1233","59.7315","32.5","59.2066","36.5714"
"Karsten Braasch","61.2068","36.1638","56.7193","38.536","63.3925","34.5352","62.4637","36.2745"
"Jacco Eltingh","63.9185","33.8535","62.0386","34.8204","66.7772","33.4538","62.4738","34.0161"
"Mats Wilander","59.532","38.8906","57.4172","40.4458","65.7596","36.3825","60.1091","38.5435"
"David Sanchez","58.2281","40.0681","58.7989","41.946","58.2988","30.0242","57.0008","36.1737"
"Lukas Dlouhy","59.6485","36.1977","58.8167","37.6898","63.8472","34.069","58.848","35.7065"
"Ramon Delgado","60.3333","36.1861","59.8102","38.2035","60.2041","31.9302","60.4549","35.8354"
"David Prinosil","61.0944","37.1772","56.2487","37.8992","64.3181","36.6501","59.9575","37.5254"
"Jan Apell","61.8537","36.7526","56.5068","39.9602","65.2707","34.1713","62.672","36.7892"
"Arnaud Di Pasquale","58.7532","39.2295","58.7287","40.9711","56.1475","33.4171","58.9565","36.9146"
"Karim Alami","60.6113","37.91","60.084","40.1243","62.8734","34.5414","60.9624","34.3581"
"Carl-Uwe Steeb","60.2352","38.1149","58.0827","39.2948","61.236","34.555","60.0819","39.452"
"Jimmy Arias","58.7597","39.6597","58.2614","41.2523","0","0","58.96","38.9511"
"Adrian Voinea","60.5583","37.5337","59.6864","39.5523","59.6524","36.4648","60.9762","36.3714"
"Grant Connell","62.2953","35.6632","59.2105","23.6111","62.9146","35.9961","62.1628","36.1308"
"Davide Sanguinetti","60.3986","37.6907","57.8896","39.2281","62.6529","36.5292","61.2919","37.395"
"Alex O'Brien","62.0558","35.8016","58.6453","37.0527","63.7481","35.4977","61.7824","36.0104"
"Claudio Mezzadri","59.342","39.0562","60.0599","39.9902","48.9796","30.9859","56.9395","37.3188"
"Martin Damm","63.5812","34.7706","57.7179","34.6138","65.3756","35.9553","62.5262","34.9011"
"Alexander Popp","61.4088","36.5618","54.6386","37.1654","64.7772","37.1242","61.3561","35.9695"
"Francisco Roig","56.4108","41.8352","56.0547","42.4437","57.513","37.6404","56.9412","41.0049"
"Julien Boutter","62.5357","34.8222","61.6826","36.8715","57.4803","34.3226","63.9139","33.2204"
"Jens Knippschild","61.8108","36.5618","60.0129","38.3925","65.041","34.832","62.2765","34.6701"
"Marcos Ondruska","57.8848","40.1904","56.2873","41.3727","58.9501","39.6349","58.217","40.2852"
"Paul Goldstein","58.5626","39.5952","54.4702","41.3892","58.9034","40.6087","59.2214","39.1842"
"Daniel Vacek","63.2049","34.6826","59.487","36.3218","64.7026","32.2581","62.6533","35.5911"
"Markus Hipfl","58.9346","39.4712","58.6561","41.5272","64.6814","31.4363","58.3844","35.0142"
"Kristian Pless","62.5487","34.5598","59.6703","37.6172","58.7379","32.3753","63.9986","34.4899"
"Filip Dewulf","60.5122","37.2242","59.6094","39.0426","57.2806","35.2751","60.3047","35.6035"
"Michiel Schapers","63.0274","34.749","60.6061","39.759","64.9952","36.1423","63.1759","34.2215"
"Patrick Baur","61.8655","37.4348","60.3462","39.2296","62.776","37.0293","62.5492","37.2785"
"Simon Youl","61.4822","36.3668","57.5107","33.1967","63.3803","36.3429","61.197","37.3446"
"Gregory Carraz","64.0426","33.2802","49.5268","38.1295","63.6583","32.0865","64.2812","33.8775"
"Hendrik Dreekmann","60.7379","36.9847","57.8516","38.8113","61.4937","33.0255","61.4033","37.6997"
"Antony Dupuis","63.512","33.7246","60.3205","36.0535","65.1563","33.8074","64.2799","32.7624"
"Patrik Kuhnen","61.3081","36.332","57.376","38.5013","60.7996","34.323","60.9393","37.5818"
"Alex Calatrava","61.7552","35.4083","60.6513","36.5764","62.5641","26.6129","63.7451","34.6486"
"George Bastl","59.9511","36.6474","57.4286","37.2206","57.9564","31.4953","60.1734","37.7502"
"Jeff Morrison","62.2881","35.5729","54.5673","34.8485","63.2253","36.4521","62.6786","35.393"
"Daniel Nestor","63.8885","33.5838","56.5138","30.9572","63.9535","33.6579","64.0225","33.8215"
"Markus Zoecke","64.1069","32.7661","59.558","31.0748","62.7698","33.1126","65.0414","33.2973"
"Luis Herrera","59.0564","38.9604","55.7904","42.4682","62.369","36.3286","58.054","39.9586"
"Justin Gimelstob","61.4055","35.9432","56.993","37.3958","63.4123","35.3758","61.356","35.99"
"Christian Ruud","57.8041","40.0439","57.6148","42.5873","52.7174","26.4414","58.6783","36.9215"
"Sebastien Lareau","60.9446","37.0048","53.9062","34.2697","61.5863","36.0977","61.0241","37.3903"
"Michael Joyce","59.4539","38.2196","56.1404","36.4653","60.5721","38.2277","59.3888","38.5565"
"Thierry Champion","58.3818","39.5161","56.744","41.6491","64.2276","35.2155","57.6647","38.9158"
"Alex Antonitsch","60.4473","37.0134","57.5816","33.9768","63.8456","35.5539","59.9876","38.1201"
"Lars Burgsmuller","59.6093","37.6027","57.8518","37.6594","59.9158","34.3313","60.0292","38.3507"
"German Lopez","62.2172","35.1205","63.0523","36.3282","30.6452","17.8571","61.22","31.466"
"Gianluca Pozzi","59.6811","38.0347","53.9045","37.8328","61.5882","37.8186","59.7868","38.3085"
"Jordi Burillo","59.7159","38.2661","59.5728","40.0397","62.0482","39.2223","59.0417","33.9065"
"Albert Portas","58.7476","38.6096","58.9702","40.2382","59.156","33.4789","57.9725","32.7641"
"Dick Norman","63.3887","31.8997","59.5005","34.6807","68.1668","31.4084","61.1191","30.2983"
"Oliver Gross","57.9724","39.4683","58.2743","40.4687","56.5934","31.25","57.9417","38.291"
"Diego Nargiso","60.4843","36.9585","57.4014","38.5417","62.0485","33.8058","60.9738","36.4405"
"Leonardo Lavalle","60.4274","37.497","56.8606","41.4508","68.7817","36.0169","60.3994","36.8263"
"Andrew Ilie","60.1064","36.6931","60.2174","38.3977","58.8761","35.6944","60.274","35.8639"
"Jean-Philippe Fleurian","59.7665","37.4042","57.9797","39.5841","62.4895","35.4662","58.9605","38.1023"
"Jean-Rene Lisnard","56.503","38.9966","55.8757","40.1093","56.0127","34.9854","56.9253","38.6321"
"John van Lottum","60.0898","36.6376","57.6642","38.3261","60.9152","36.0382","60.4976","36.5994"
"Sergio Roitman","57.4092","37.632","57.4977","39.1373","58.5987","25.4181","57.2895","35.8357"
"Vladimir Voltchkov","61.2802","35.8482","52.483","35.1554","62.387","36.2125","62.2046","35.4103"
"Christophe Rochus","57.202","37.9805","56.2404","41.1096","56.7507","32.2068","58.0718","36.5242"
"Attila Savolt","60.1161","35.7991","59.4771","37.2303","61.9835","23.6364","61.6125","33.8942"
"Stefano Pescosolido","59.7622","37.385","58.2138","38.6279","59.6036","34.2254","60.2363","37.8556"
"Olivier Delaitre","60.2313","37.2345","55.8687","38.1328","62.0047","34.7128","60.3396","38.0112"
"Galo Blanco","59.9735","37.0205","60.058","38.6668","57.8089","28.7518","60.497","31.3354"
"Oscar Martinez","56.3326","40.4275","56.6295","40.659","50","36.9565","52.381","33.3333"
"Jiri Vanek","59.1064","36.1571","58.5485","38.755","58.9041","26.0938","59.7012","33.6852"
"Julian Alonso","58.787","38.0395","59.3906","39.2653","57.7889","25.1534","57.6414","36.2245"
"Tomas Nydahl","59.7198","37.5799","56.928","42.4623","61.1675","33.3333","60.0763","33.522"
"Joern Renzenbrink","61.7651","34.7866","57.9695","32.2196","57.3996","33.6374","63.3588","36.0523"
"Wayne Black","58.7001","38.4486","55.4042","38.19","57.5248","38.2309","58.6814","38.7478"
"Brian Vahaly","59.5626","37.1044","56.3218","38.2456","59.2875","37.8664","60.1651","36.7465"
"Oscar Hernandez","58.5145","36.1644","59.4762","38.1633","52.9297","25.1073","55.9872","29.9435"
"Lionel Roux","60.5569","36.1668","57.2785","37.4601","54.2998","29.1005","61.0685","36.5203"
"Ronald Agenor","58.7188","38.1269","57.8927","38.8874","58.5366","36.9637","59.1213","38.0341"
"Michal Tabara","57.4147","40.0371","56.8852","41.3077","60.7735","31.0526","57.5015","39.7239"
"Jan Kroslak","59.2934","37.37","53.6103","39.8678","55.9397","38.1166","60.2665","37.4639"
"Dennis van Scheppingen","60.3412","36.5505","58.9274","37.3426","62.6674","37.1367","60.5925","36.5794"
"Markus Hantschk","60.0667","36.5109","60.8951","37.8623","57.4603","32.1799","59.3689","35.3002"
"Rodolphe Gilbert","59.82","36.9142","57.5674","38.5148","61.1977","34.0232","60.3581","37.1032"
"Christian Saceanu","61.4963","35.0589","57.2792","34.7095","64.473","35.4147","57.7406","34.6549"
"Lars Jonsson","58.0347","38.7451","57.3128","40.1738","56.5976","38.0849","59.0061","38.0942"
"Leander Paes","61.1459","35.5471","58.0402","38.785","64.8058","37.2362","59.1833","34.0614"
"Mark Koevermans","58.377","38.6372","59.6512","40.9698","49.4186","26.5734","57.9377","34.5385"
"Juan Albert Viloca-Puig","59.6727","36.9891","60.0241","37.9766","59.7374","37.8698","58.6366","34.4651"
"Olivier Mutis","57.6224","38.591","57.6177","40.8384","59.3695","37.4302","56.9559","33.806"
"Markus Naewie","58.4897","38.0358","58.8301","38.3631","52.1368","36.8421","59.1489","37.1429"
"Mikael Pernfors","58.3231","38.8955","55.9857","41.4182","0","0","60.1126","37.8574"
"Laurence Tieleman","62.4984","33.5398","51.3746","30.0781","64.4545","33.428","62.8179","33.9597"
"Jan Vacek","60.2121","35.2673","54.6961","38.4196","62.2397","36.5193","60.6434","33.5657"
"Stephane Simian","62.068","34.2283","58.8116","34.6183","63.3644","34.0021","61.7063","35.0829"
"Tomas Behrend","58.9006","37.0401","58.9268","38.9061","53.5032","29.9213","58.7118","35.0951"
"Jan Gunnarsson","57.4826","38.1548","55.5939","43.1186","65.2941","37.6299","52.0384","29.0667"
"Frederik Fetterlein","58.3929","37.7203","53.662","40.4511","62.1339","37.1429","58.7413","36.5314"
"Johan Van Herck","60.1222","36.115","58.7915","39.317","55.5785","32.971","60.3225","33.8422"
"Veli Paloheimo","54.4506","42.2293","52.5641","45.6825","58.034","37.747","54.3046","40.3329"
"Juan Antonio Marin","56.8136","39.4258","57.6428","40.6554","47.561","31.8538","53.8242","33.4541"
"Andre Sa","57.9662","38.4725","53.1633","39.111","59.1115","37.23","60.147","38.83"
"Roberto Carretero","58.2709","38.0466","58.8549","38.3303","0","0","50.9434","37.4359"
"Cristiano Caratti","58.1816","38.2319","53.8605","40.7407","58.8022","34.2082","58.3343","38.4563"
"Daniele Bracciali","62.948","33.1806","60.8292","35.3863","66.0088","31.9053","61.9256","32.7883"
"Jeremy Bates","59.5773","36.2534","49.635","38.1119","63.015","35.938","57.6378","37.0344"
"Marian Vajda","55.1423","40.8139","54.9334","41.8239","55.4455","35.8974","55.6865","40.469"
"Martin Sinner","60.9133","35.2235","56.362","36.0072","55.6452","34.7484","61.5271","36.8727"
"Jacobo Diaz","57.9882","37.808","57.5155","40.3326","54.3478","20.5882","59.6006","32.3998"
"Werner Eschauer","59.986","34.6939","59.3171","36.7624","59.6026","32.0755","61.7647","31.2221"
"Andrei Stoliarov","57.8558","37.532","56.1045","39.5916","58.6924","34.7334","58.7198","37.0753"
"Irakli Labadze","58.9453","36.2876","58.2465","38.5921","60.9496","34.3527","59.2173","34.1652"
"Tomas Zib","59.7083","35.1183","56.8821","37.5422","62.1136","32.3326","60.9044","34.9677"
"Frederic Fontang","54.065","41.442","54.4078","42.0484","45.8333","40.9524","51.5885","41.295"
"Eduardo Masso","54.5653","40.9582","54.0848","43.328","55","38.3562","54","39.1667"
"Marcello Craca","57.0979","38.6108","55.8346","41.208","57.0175","15.8416","63.5678","31.4421"
"David Rikl","57.8535","37.0555","57.9917","38.7493","57.0886","34.966","56.5672","35.5883"
"Fernando Roese","58.0913","36.8543","54.9206","36.5854","54.7771","29.2517","58.4347","38.2496"
"Martin Rodriguez","59.9288","34.9027","60.9793","35.6862","58.209","42.3358","56.7698","31.2245"
"Bart Wuyts","52.4833","42.6579","52.4026","44.5492","43.0233","29.8701","53.0015","42.3729"
"Nuno Marques","58.2718","36.1964","56.6748","38.2212","55.7932","31.4545","60.7445","34.5601"
"Federico Luzzi","56.4678","36.7328","56.2344","38.2238","0","0","57.2985","33.3733"
"Dinu Pescariu","56.325","36.9736","56.1445","38.6733","58.0994","31.1111","55.9904","34.5865"
"German Puentes","55.2234","37.6717","54.4505","39.4973","63.3663","33.1551","55.6202","31.1871"
"Lars Koslowski","55.0547","38.0617","53.9446","38.5315","42.5532","21.7949","57.8506","38.4494"
"Kris Goossens","53.786","38.3895","56.6393","39.6493","50","37.6923","44.7972","34.4519"
"Patrik Fredriksson","56.4974","35.8182","55.935","37.8486","55.7895","32.1101","55.4752","34.0449"
"Daniel Elsner","55.3496","36.2769","55.7967","35.9623","53.913","35.6522","54.188","37.291"
"Roberto Azar","55.964","36.3343","55.545","37.8423","50.5618","22.293","60.4824","28.7968"
"Andre Agassi","65.868","41.711","63.017","43.657","66.983","38.605","66.277","41.633"
"Boris Becker","66.925","38.136","62.769","40.401","67.71","37.746","67.504","37.249"
"Greg Rusedski","68.284","34.562","60.954","35.055","71.032","34.244","67.909","34.706"
"Horacio De La Pena","57.245","41.097","58.083","40.653","45.07","16.129","55.41","33.557"
"Ivan Lendl","65.748","40.387","58.781","43.086","66.716","34.993","66.877","41.167"
"Jaime Oncins","58.021","41.374","57.818","41.706","58.423","37.278","55.798","38.014"
"Luiz Mattar","61.508","36.59","60.913","33.916","58.333","35.634","61.022","36.779"
"Magnus Norman","62.639","38.973","62.361","42.289","62.174","35.44","62.9","37.113"
"Marat Safin","65.053","37.594","63.01","39.656","67.037","34.606","65.948","36.751"
"Marc Rosset","65.083","36.478","63.045","37.527","65.526","33.601","65.555","36.245"
"Marcelo Rios","63.634","40.567","61.393","42.06","60.833","38.243","65.039","39.331"
"Mark Philippoussis","67.301","35.079","63.466","37.296","70.815","33.692","67.502","34.669"
"Michael Chang","63.105","42.108","60.049","42.578","61.26","39.927","63.537","41.476"
"Paul Haarhuis","61.969","37.878","59.056","40.083","62.309","37.034","63.47","37.19"
"Richard Fromberg","63.192","36.615","62.015","38.061","65.516","32.725","64.243","35.754"
"Richard Krajicek","68.726","36.93","65.375","38.708","71.857","36.731","68.949","36.919"
"Thomas Enqvist","63.784","39.13","59.523","40.957","65.686","35.927","64.395","38.813"
"All","0","0","60.5116","39.9115","64.8899","35.5812","63.141","37.1185"
